"","FIPS","GISJOIN2","OUT10","REP10","Pop10","Wage2010","Wage2011","Wage2012","Wage2013","Wage2014","Wage2015","CBSA10","CBSAName","PEA10","BEA2004","TPMetro","TPMicro","TPcombined"
"10001",10001,"G1000010",91,430,162310,36771,37177,38572,38575,39979,41104,20100,"Dover, DE",6,49,287,NA,287
"10003",10003,"G1000030",92,431,538479,55026,57344,58730,58939,60042,60564,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6,127,2260,NA,2260
"10005",10005,"G1000050",91,430,197145,33911,33994,34490,35217,36322,37679,41540,"Salisbury, MD-DE",147,49,NA,289,289
"1001",1001,"G0100010",1,560,54571,31748,32404,33690,33976,34232,35148,33860,"Montgomery, AL",164,114,51,NA,51
"1003",1003,"G0100030",2,561,182265,31189,31341,31882,32514,33126,33883,19300,"Daphne-Fairhope-Foley, AL",84,112,NA,2,2
"1005",1005,"G0100050",3,562,27457,30272,31361,32178,32882,34007,35053,NA,NA,170,48,NA,3,3
"1007",1007,"G0100070",4,563,22915,33123,33695,34713,35986,37306,37715,13820,"Birmingham-Hoover, AL",344,19,37,NA,37
"1009",1009,"G0100090",4,563,57322,29167,29724,30365,30957,32812,33240,13820,"Birmingham-Hoover, AL",258,19,37,NA,37
"1011",1011,"G0100110",1,560,10914,29512,30457,31453,31654,32450,32801,NA,NA,300,114,NA,NA,NA
"1013",1013,"G0100130",1,560,20947,28961,29552,30557,31289,31689,32677,NA,NA,300,114,NA,NA,NA
"1015",1015,"G0100150",5,564,118572,37191,37462,37174,36360,37029,36795,11500,"Anniston-Oxford-Jacksonville, AL",40,19,8,NA,8
"1017",1017,"G0100170",6,565,34215,30681,31039,31712,32334,33204,34684,46740,"Valley, AL",165,11,NA,9,9
"1019",1019,"G0100190",7,566,25989,29807,29775,29892,30955,32025,33045,NA,NA,165,11,NA,NA,NA
"1021",1021,"G0100210",4,563,43643,30017,30977,30917,31929,33071,34359,13820,"Birmingham-Hoover, AL",344,19,37,NA,37
"1023",1023,"G0100230",8,567,13859,44581,44921,46003,46856,47614,47226,NA,NA,377,80,NA,NA,NA
"1025",1025,"G0100250",8,567,25833,34197,34546,35553,36983,38102,37858,NA,NA,84,112,NA,NA,NA
"1027",1027,"G0100270",5,564,13932,28836,28735,29415,30362,30519,31895,NA,NA,246,19,NA,NA,NA
"1029",1029,"G0100290",5,564,14972,34430,34697,34926,37086,39744,43050,NA,NA,165,11,417,NA,417
"1031",1031,"G0100310",9,568,49948,29310,30031,30665,31096,31898,32616,21460,"Enterprise, AL",170,48,NA,23,23
"1033",1033,"G0100330",10,569,54428,38757,39728,39918,39690,41164,41809,22520,"Florence-Muscle Shoals, AL",55,76,39,NA,39
"1035",1035,"G0100350",11,570,13228,31312,31653,31954,32250,33461,33649,NA,NA,84,112,NA,NA,NA
"1037",1037,"G0100370",5,564,11539,33057,33316,32943,34481,35419,35715,45180,"Talladega-Sylacauga, AL",246,114,NA,62,62
"1039",1039,"G0100390",1,560,37765,31633,31798,32409,32779,33188,33360,NA,NA,170,48,NA,NA,NA
"1041",1041,"G0100410",1,560,13906,31453,31014,32379,33472,34542,35364,NA,NA,300,114,NA,NA,NA
"1043",1043,"G0100430",12,571,80406,32961,33336,34064,34919,35955,36652,18980,"Cullman, AL",258,19,NA,22,22
"1045",1045,"G0100450",9,568,50251,46972,48082,49145,49619,49966,50804,37120,"Ozark, AL",170,48,NA,23,23
"1047",1047,"G0100470",8,567,43820,32448,32782,33685,34026,34737,35234,42820,"Selma, AL",300,114,NA,24,24
"1049",1049,"G0100490",7,566,71109,31446,30846,31869,31754,33132,34059,NA,NA,55,76,NA,25,25
"1051",1051,"G0100510",1,560,79303,31000,31928,32846,33146,32899,33464,33860,"Montgomery, AL",164,114,51,NA,51
"1053",1053,"G0100530",11,570,38319,33823,34190,34897,35767,36574,37676,NA,NA,84,112,NA,NA,NA
"1055",1055,"G0100550",7,566,104430,33218,33441,33588,33681,34267,35215,23460,"Gadsden, AL",55,76,28,NA,28
"1057",1057,"G0100570",12,571,17241,28039,28284,29258,30129,31787,32147,NA,NA,258,19,NA,NA,NA
"1059",1059,"G0100590",10,569,31704,30222,30427,31342,31398,32565,33459,NA,NA,55,76,NA,NA,NA
"1061",1061,"G0100610",9,568,26790,28000,28379,28867,29179,29812,31058,20020,"Dothan, AL",170,48,35,NA,35
"1063",1063,"G0100630",13,567,9045,32453,33423,33559,30554,29889,31864,NA,NA,377,19,63,NA,63
"1065",1065,"G0100650",13,567,15760,30746,31104,31298,33628,33870,34245,46220,"Tuscaloosa, AL",344,19,63,NA,63
"1067",1067,"G0100670",9,568,17302,33394,34425,35200,36059,36609,37932,20020,"Dothan, AL",170,48,35,NA,35
"1069",1069,"G0100690",9,568,101547,35555,35682,36413,37148,38150,39381,20020,"Dothan, AL",170,48,35,NA,35
"1071",1071,"G0100710",7,566,53227,32217,32564,32799,33089,34050,34287,42460,"Scottsboro, AL",55,76,NA,36,36
"1073",1073,"G0100730",4,563,658466,46724,47949,49542,49598,50834,52292,13820,"Birmingham-Hoover, AL",40,19,37,NA,37
"1075",1075,"G0100750",12,571,14564,31419,32910,33181,34700,36247,36487,NA,NA,397,19,NA,NA,NA
"1077",1077,"G0100770",10,569,92709,29866,29981,30488,31677,32268,33392,22520,"Florence-Muscle Shoals, AL",55,76,39,NA,39
"1079",1079,"G0100790",14,569,34339,39936,41078,41830,42149,45747,33012,19460,"Decatur, AL",55,76,52,NA,52
"1081",1081,"G0100810",6,565,140247,33217,33752,34112,34214,35055,36214,12220,"Auburn-Opelika, AL",246,39,41,NA,41
"1083",1083,"G0100830",14,569,82782,40387,41110,43082,41623,43679,45062,26620,"Huntsville, AL",55,76,45,NA,45
"1085",1085,"G0100850",1,560,11299,37350,39265,40611,42685,43327,44308,33860,"Montgomery, AL",300,114,51,NA,51
"1087",1087,"G0100870",6,565,21452,35766,38308,38457,39094,39850,41147,NA,NA,246,39,NA,44,44
"1089",1089,"G0100890",14,569,334811,51940,53147,53561,53748,55120,55895,26620,"Huntsville, AL",55,76,45,NA,45
"1091",1091,"G0100910",8,567,21027,33458,33972,34949,36510,37375,38346,NA,NA,377,112,NA,NA,NA
"1093",1093,"G0100930",12,571,30776,31309,31484,32007,31356,32042,32713,NA,NA,258,19,NA,NA,NA
"1095",1095,"G0100950",7,566,93019,30612,31044,32005,32385,33218,33630,10700,"Albertville, AL",55,76,NA,48,48
"1097",1097,"G0100970",2,561,412992,40095,41998,42425,42742,43542,44674,33660,"Mobile, AL",84,112,49,NA,49
"1099",1099,"G0100990",11,570,23068,39387,37323,37334,37767,39141,40260,NA,NA,84,112,NA,NA,NA
"11001",11001,"G1100010",93,432,601723,80200,81529,82783,83054,85877,88159,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,174,2814,NA,2814
"1101",1101,"G0101010",1,560,229363,40850,42050,42090,42112,42842,43922,33860,"Montgomery, AL",164,114,51,NA,51
"1103",1103,"G0101030",14,569,119490,38118,38758,39874,40059,41317,42264,19460,"Decatur, AL",55,76,52,NA,52
"1105",1105,"G0101050",8,567,10591,29250,30422,30473,29862,29210,29462,NA,NA,300,114,NA,NA,NA
"1107",1107,"G0101070",13,567,19746,30639,31456,31881,32169,35244,35577,46220,"Tuscaloosa, AL",397,19,NA,NA,NA
"1109",1109,"G0101090",1,560,32899,34053,35329,35534,35479,37703,39241,45980,"Troy, AL",300,114,NA,55,55
"1111",1111,"G0101110",5,564,22913,28962,29590,29949,30165,30853,31112,NA,NA,165,11,NA,NA,NA
"1113",1113,"G0101130",6,565,52947,32688,32945,33112,34016,34532,35789,17980,"Columbus, GA-AL",202,39,463,NA,463
"1115",1115,"G0101150",4,563,83593,32150,32442,32744,33608,34469,35302,13820,"Birmingham-Hoover, AL",40,19,37,NA,37
"1117",1117,"G0101170",4,563,195085,42771,44066,45653,46242,47938,49762,13820,"Birmingham-Hoover, AL",40,19,37,NA,37
"1119",1119,"G0101190",15,572,13763,32211,32867,33629,33540,35896,36862,NA,NA,377,80,NA,NA,NA
"1121",1121,"G0101210",5,564,82291,39737,38945,40676,42375,44027,44312,45180,"Talladega-Sylacauga, AL",40,19,NA,61,61
"1123",1123,"G0101230",5,564,41616,31164,31390,31237,31862,31885,32242,NA,NA,246,114,NA,62,62
"1125",1125,"G0101250",13,567,194656,40198,41304,42081,42217,42710,42907,46220,"Tuscaloosa, AL",40,19,63,NA,63
"1127",1127,"G0101270",12,571,67023,32380,33310,33588,33946,34629,35481,13820,"Birmingham-Hoover, AL",40,19,37,NA,37
"1129",1129,"G0101290",2,561,17581,51399,52279,54336,54286,56231,56375,NA,NA,84,112,NA,NA,NA
"1131",1131,"G0101310",8,567,11670,38772,39086,39032,39905,40022,40223,NA,NA,84,112,NA,NA,NA
"1133",1133,"G0101330",12,571,24484,28127,28672,29615,30440,31430,32321,NA,NA,258,19,NA,NA,NA
"12001",12001,"G1200010",94,576,247336,39688,40206,40775,41588,42691,43599,23540,"Gainesville, FL",29,62,291,NA,291
"12003",12003,"G1200030",95,577,27115,29649,30733,30616,30955,31589,31769,27260,"Jacksonville, FL",29,79,305,NA,305
"12005",12005,"G1200050",96,578,168852,35948,35906,35546,35755,36828,37793,37460,"Panama City, FL",72,123,293,NA,293
"12007",12007,"G1200070",94,576,28520,30769,30838,31467,32678,34199,35783,NA,NA,29,62,305,NA,305
"12009",12009,"G1200090",97,579,543376,43770,44185,44153,44364,44484,46199,37340,"Palm Bay-Melbourne-Titusville, FL",13,121,295,NA,295
"12011",12011,"G1200110",98,580,1748066,43811,44469,45051,45598,47012,48766,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",9,106,333,NA,333
"12013",12013,"G1200130",99,578,14625,27999,27861,29194,29469,29911,30808,NA,NA,72,123,NA,NA,NA
"12015",12015,"G1200150",100,581,159978,32414,32830,33218,34046,34559,35673,39460,"Punta Gorda, FL",67,148,298,NA,298
"12017",12017,"G1200170",101,582,141236,34679,35028,35470,35556,35142,35720,26140,"Homosassa Springs, FL",13,121,NA,299,299
"12019",12019,"G1200190",95,577,190865,32238,32866,33430,33780,35055,35934,27260,"Jacksonville, FL",29,79,305,NA,305
"12021",12021,"G1200210",102,581,321520,40820,40979,41778,43214,43934,45020,34940,"Naples-Immokalee-Marco Island, FL",65,148,301,NA,301
"12023",12023,"G1200230",103,583,67531,33989,33289,33535,34054,34888,35619,29380,"Lake City, FL",29,62,NA,302,302
"12027",12027,"G1200270",100,581,34862,31639,31936,32839,33426,33988,34553,11580,"Arcadia, FL",67,148,NA,303,303
"12029",12029,"G1200290",94,576,16422,28556,28641,29191,29422,32077,32110,NA,NA,29,62,291,NA,291
"12031",12031,"G1200310",95,577,864263,45084,45556,47027,47481,48811,49678,27260,"Jacksonville, FL",29,79,305,NA,305
"12033",12033,"G1200330",104,584,297619,36730,37808,38406,38146,39354,40954,37860,"Pensacola-Ferry Pass-Brent, FL",87,125,306,NA,306
"12035",12035,"G1200350",105,585,95696,30883,30832,31196,31425,31443,32934,19660,"Deltona-Daytona Beach-Ormond Beach, FL",13,121,307,NA,307
"12037",12037,"G1200370",106,578,11549,28528,28100,28284,29060,29364,30119,NA,NA,72,163,NA,NA,NA
"12039",12039,"G1200390",99,578,46389,30919,31964,32196,31989,33021,33356,45220,"Tallahassee, FL",72,163,326,NA,326
"12041",12041,"G1200410",94,576,16939,29997,29733,30018,31088,31880,32263,23540,"Gainesville, FL",29,62,291,NA,291
"12043",12043,"G1200430",107,586,12884,36194,37164,35408,35764,37067,38720,NA,NA,9,106,NA,NA,NA
"12045",12045,"G1200450",96,578,15863,32220,32590,33159,33292,34181,34860,37460,"Panama City, FL",72,123,NA,NA,NA
"12047",12047,"G1200470",103,583,14799,39128,39119,40287,40587,41824,39651,NA,NA,29,3,NA,NA,NA
"12049",12049,"G1200490",108,587,27731,27770,28940,29821,29632,30806,31851,48100,"Wauchula, FL",13,121,NA,314,314
"12051",12051,"G1200510",107,586,39140,32946,31929,34784,35353,35585,37541,17500,"Clewiston, FL",9,106,NA,315,315
"12053",12053,"G1200530",109,588,172778,30767,31149,31953,32141,33127,33813,45300,"Tampa-St. Petersburg-Clearwater, FL",21,164,318,NA,318
"12055",12055,"G1200550",108,587,98786,29786,29287,29618,30831,31284,32522,42700,"Sebring, FL",13,121,NA,317,317
"12057",12057,"G1200570",109,588,1229226,45133,46078,46893,47408,48388,49951,45300,"Tampa-St. Petersburg-Clearwater, FL",21,164,318,NA,318
"12059",12059,"G1200590",96,578,19927,26951,27108,27700,27963,29068,29868,NA,NA,170,123,NA,NA,NA
"12061",12061,"G1200610",97,579,138028,35191,35320,37121,37075,38754,40162,42680,"Sebastian-Vero Beach, FL",9,106,320,NA,320
"12063",12063,"G1200630",96,578,49746,31065,31570,31776,32151,32773,33496,NA,NA,72,123,NA,NA,NA
"12065",12065,"G1200650",99,578,14761,28646,28395,29741,30576,31216,32214,45220,"Tallahassee, FL",72,163,326,NA,326
"12067",12067,"G1200670",103,583,8870,28134,27687,28781,28856,29619,29543,NA,NA,29,62,NA,NA,NA
"12069",12069,"G1200690",101,582,297052,32219,32373,32720,33393,34204,35539,36740,"Orlando-Kissimmee-Sanford, FL",13,121,338,NA,338
"12071",12071,"G1200710",102,581,618754,37602,38192,38628,38883,39616,40933,15980,"Cape Coral-Fort Myers, FL",65,148,325,NA,325
"12073",12073,"G1200730",99,578,275487,39561,39677,40087,40253,41113,42254,45220,"Tallahassee, FL",72,163,326,NA,326
"12075",12075,"G1200750",94,576,40801,27598,27900,28491,28875,29272,30099,NA,NA,29,62,291,NA,291
"12077",12077,"G1200770",99,578,8365,33999,31181,30322,32127,33566,34417,NA,NA,72,163,326,NA,326
"12079",12079,"G1200790",103,583,19224,29119,29237,29605,29842,31479,32053,NA,NA,72,3,NA,NA,NA
"12081",12081,"G1200810",100,581,322833,35939,36948,36998,37320,37931,39474,35840,"North Port-Sarasota-Bradenton, FL",67,148,348,NA,348
"12083",12083,"G1200830",101,582,331298,33014,33475,33841,34425,34811,35801,36100,"Ocala, FL",13,121,331,NA,331
"12085",12085,"G1200850",107,586,146318,38505,39324,39439,38148,39007,40438,38940,"Port St. Lucie, FL",9,106,346,NA,346
"12086",12086,"G1200860",98,580,2496435,45653,46438,47011,47458,48883,50548,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",9,106,333,NA,333
"12087",12087,"G1200870",98,580,73090,37630,38013,37674,36780,37614,38906,28580,"Key West, FL",9,106,NA,334,334
"12089",12089,"G1200890",95,577,73314,37186,38377,39729,38637,40092,39981,27260,"Jacksonville, FL",29,79,305,NA,305
"12091",12091,"G1200910",104,584,180822,38638,38881,39523,40207,41111,42630,18880,"Crestview-Fort Walton Beach-Destin, FL",87,125,336,NA,336
"12093",12093,"G1200930",107,586,39996,31177,31449,32167,33332,33987,35213,36380,"Okeechobee, FL",9,106,NA,337,337
"12095",12095,"G1200950",101,582,1145956,41487,42058,42857,43145,44422,46021,36740,"Orlando-Kissimmee-Sanford, FL",13,121,338,NA,338
"12097",12097,"G1200970",101,582,268685,33079,33036,33803,34138,34970,35870,36740,"Orlando-Kissimmee-Sanford, FL",13,121,338,NA,338
"12099",12099,"G1200990",107,586,1320134,45833,46322,47769,48214,49845,51372,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",9,106,333,NA,333
"12101",12101,"G1201010",109,588,464697,32995,33342,33764,34540,35315,36463,45300,"Tampa-St. Petersburg-Clearwater, FL",21,164,318,NA,318
"12103",12103,"G1201030",109,588,916542,41102,42370,43960,43494,44758,46064,45300,"Tampa-St. Petersburg-Clearwater, FL",21,164,318,NA,318
"12105",12105,"G1201050",108,587,602095,35676,36189,36954,37485,38504,39364,29460,"Lakeland-Winter Haven, FL",13,121,343,NA,343
"12107",12107,"G1201070",105,585,74364,33990,34507,34132,34152,34731,35892,37260,"Palatka, FL",29,79,NA,344,344
"12109",12109,"G1201090",95,577,190039,36148,36785,36945,37341,38802,40391,27260,"Jacksonville, FL",29,79,305,NA,305
"12111",12111,"G1201110",107,586,277789,34070,34615,34921,36173,36727,38033,38940,"Port St. Lucie, FL",9,106,346,NA,346
"12113",12113,"G1201130",104,584,151372,32486,32737,33330,33117,33901,35187,37860,"Pensacola-Ferry Pass-Brent, FL",87,125,306,NA,306
"12115",12115,"G1201150",100,581,379448,38669,39166,39908,40567,41603,42884,35840,"North Port-Sarasota-Bradenton, FL",67,148,348,NA,348
"12117",12117,"G1201170",101,582,422718,38512,39359,40249,40948,41919,43666,36740,"Orlando-Kissimmee-Sanford, FL",13,121,338,NA,338
"12119",12119,"G1201190",101,582,93420,32739,34917,35894,37574,36931,36944,45540,"The Villages, FL",13,121,NA,350,350
"12121",12121,"G1201210",103,583,41551,28144,28244,28871,29720,30421,31341,NA,NA,29,62,NA,NA,NA
"12123",12123,"G1201230",103,583,22570,35625,36468,36491,37593,37220,40703,NA,NA,72,163,NA,NA,NA
"12125",12125,"G1201250",94,576,15535,33411,33075,33684,34060,34270,34233,NA,NA,29,62,305,NA,305
"12127",12127,"G1201270",105,585,494593,33726,33861,34847,34947,36038,37196,19660,"Deltona-Daytona Beach-Ormond Beach, FL",13,121,354,NA,354
"12129",12129,"G1201290",99,578,30776,32946,30815,30787,32026,32543,33237,45220,"Tallahassee, FL",72,163,326,NA,326
"12131",12131,"G1201310",104,584,55043,30447,30674,31658,32148,32801,34156,18880,"Crestview-Fort Walton Beach-Destin, FL",87,125,NA,NA,NA
"12133",12133,"G1201330",96,578,24896,30603,30508,30819,31727,32248,33376,NA,NA,170,123,NA,NA,NA
"13001",13001,"G1300010",110,589,18236,36106,38076,38369,39384,39618,41848,NA,NA,241,100,NA,NA,NA
"13003",13003,"G1300030",111,590,8375,31002,30432,29514,30698,32299,32692,NA,NA,207,79,NA,391,391
"13005",13005,"G1300050",111,590,11096,26000,27228,27681,28229,28851,30231,NA,NA,207,79,NA,NA,NA
"13007",13007,"G1300070",112,591,3451,29937,30727,31980,30825,33905,34330,10500,"Albany, GA",159,3,404,NA,404
"13009",13009,"G1300090",113,592,45720,30230,30681,31310,32226,33196,33478,33300,"Milledgeville, GA",128,100,NA,362,362
"13011",13011,"G1300110",114,593,18395,28360,29106,28378,28589,30002,31312,NA,NA,11,11,417,NA,417
"13013",13013,"G1300130",115,594,69367,32904,33047,33247,33510,34241,35472,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13015",13015,"G1300150",116,595,100157,36438,36910,38150,39188,40198,41512,12060,"Atlanta-Sandy Springs-Roswell, GA",165,11,417,NA,417
"13017",13017,"G1300170",117,596,17634,26530,27383,29177,29066,30079,30523,22340,"Fitzgerald, GA",159,3,NA,366,366
"13019",13019,"G1300190",117,596,19286,28792,29363,30097,29773,30147,32030,NA,NA,159,3,NA,NA,NA
"13021",13021,"G1300210",118,597,155547,36534,37303,37789,38753,39549,40665,31420,"Macon, GA",128,100,368,NA,368
"13023",13023,"G1300230",119,598,13063,25926,26118,27904,27401,26674,28725,NA,NA,128,100,NA,NA,NA
"13025",13025,"G1300250",120,599,18411,26716,27119,26738,26856,27506,28586,15260,"Brunswick, GA",207,79,420,NA,420
"13027",13027,"G1300270",117,596,16243,26367,25427,26161,30641,31789,32063,46660,"Valdosta, GA",159,3,449,NA,449
"13029",13029,"G1300290",121,600,30233,30110,30380,30525,31386,31845,33049,42340,"Savannah, GA",177,149,382,NA,382
"13031",13031,"G1300310",122,601,70217,30189,30520,31055,31721,31617,32295,44340,"Statesboro, GA",237,149,NA,373,373
"13033",13033,"G1300330",123,602,23316,39459,43511,47289,50302,53116,56403,12260,"Augusta-Richmond County, GA-SC",378,12,478,NA,478
"13035",13035,"G1300350",115,594,23655,30293,31119,31817,32476,33078,33524,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13037",13037,"G1300370",3,562,6694,25136,25199,28361,27310,27752,29676,NA,NA,159,3,NA,NA,NA
"13039",13039,"G1300390",95,577,50513,36882,38699,39112,39767,42676,44843,41220,"St. Marys, GA",207,79,NA,377,377
"13043",13043,"G1300430",122,601,10998,27163,27027,27197,27882,29435,27684,NA,NA,237,149,NA,NA,NA
"13045",13045,"G1300450",115,594,110527,36294,37562,38035,38295,38360,39358,12060,"Atlanta-Sandy Springs-Roswell, GA",117,11,417,NA,417
"13047",13047,"G1300470",124,603,63942,31364,31653,31994,32289,32481,33140,16860,"Chattanooga, TN-GA",74,11,2426,NA,2426
"13049",13049,"G1300490",95,577,12171,29496,31869,32106,32165,33173,33091,NA,NA,207,79,305,NA,305
"13051",13051,"G1300510",121,600,265128,39533,40291,41097,41504,43083,44396,42340,"Savannah, GA",177,149,382,NA,382
"13053",13053,"G1300530",6,565,11267,41518,44868,46486,47043,49186,47603,17980,"Columbus, GA-AL",202,39,463,NA,463
"13055",13055,"G1300550",116,595,26015,29780,29106,28523,29506,30445,31578,44900,"Summerville, GA",165,11,NA,384,384
"13057",13057,"G1300570",125,604,214346,34645,35585,35675,36238,37304,38714,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13059",13059,"G1300590",126,605,116714,37533,38269,38804,39151,40519,42681,12020,"Athens-Clarke County, GA",11,11,386,NA,386
"13061",13061,"G1300610",3,562,3183,28017,26751,26135,26737,28006,28783,NA,NA,159,3,NA,NA,NA
"13063",13063,"G1300630",115,594,259424,40922,42674,47552,46620,48430,48990,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13065",13065,"G1300650",111,590,6798,26956,27837,28257,28402,30041,33772,NA,NA,207,79,NA,NA,NA
"13067",13067,"G1300670",115,594,688078,48505,49400,52139,53065,54088,55417,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13069",13069,"G1300690",111,590,42356,29805,29735,30240,30730,31883,32040,20060,"Douglas, GA",207,79,NA,391,391
"13071",13071,"G1300710",127,591,45498,26769,27910,28439,29175,29662,30660,34220,"Moultrie, GA",159,3,NA,392,392
"13073",13073,"G1300730",123,602,124053,32831,32770,34828,34657,35302,36555,12260,"Augusta-Richmond County, GA-SC",105,12,478,NA,478
"13075",13075,"G1300750",117,596,17212,25094,26104,26225,27138,27563,27834,NA,NA,159,3,NA,NA,NA
"13077",13077,"G1300770",115,594,127317,33722,34396,35381,36296,37453,38189,12060,"Atlanta-Sandy Springs-Roswell, GA",117,11,417,NA,417
"13079",13079,"G1300790",118,597,12630,28496,29221,28263,29057,30323,31210,31420,"Macon, GA",308,100,368,NA,368
"13081",13081,"G1300810",128,606,23439,28602,29176,30227,30422,32340,32348,18380,"Cordele, GA",308,3,NA,397,397
"13083",13083,"G1300830",124,603,16633,31553,31281,30970,31170,31860,32861,16860,"Chattanooga, TN-GA",74,11,2426,NA,2426
"13085",13085,"G1300850",114,593,22330,25847,25836,25731,25438,26151,27937,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13087",13087,"G1300870",129,562,27842,27957,28640,29926,29689,30987,32415,12460,"Bainbridge, GA",72,163,NA,400,400
"13089",13089,"G1300890",115,594,691893,48846,50171,51477,50609,51820,53022,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13091",13091,"G1300910",119,598,21796,26651,27282,27594,27747,28740,29494,NA,NA,128,100,NA,NA,NA
"13093",13093,"G1300930",128,606,14918,28217,29104,29511,30039,29605,31440,NA,NA,308,3,NA,NA,NA
"13095",13095,"G1300950",112,591,94565,37320,37874,38423,38628,39012,39182,10500,"Albany, GA",319,3,404,NA,404
"13097",13097,"G1300970",115,594,132403,31183,32435,33052,34100,34939,35573,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13099",13099,"G1300990",3,562,11008,37302,38109,39184,40252,41200,40775,NA,NA,72,163,NA,NA,NA
"13101",13101,"G1301010",117,596,4034,23521,23173,20968,22205,25799,30172,46660,"Valdosta, GA",159,3,449,NA,449
"13103",13103,"G1301030",121,600,52250,34786,36488,36568,37801,38319,39524,42340,"Savannah, GA",177,149,382,NA,382
"13105",13105,"G1301050",126,605,20166,29125,29836,31043,30696,31349,32131,NA,NA,11,11,NA,NA,NA
"13107",13107,"G1301070",122,601,22598,27449,27846,28323,28615,30049,30624,NA,NA,241,149,NA,NA,NA
"13109",13109,"G1301090",122,601,11000,28875,27763,28626,29510,31054,31840,NA,NA,237,149,NA,NA,NA
"13111",13111,"G1301110",125,604,23682,28061,27987,28757,28638,28696,29276,NA,NA,199,11,NA,NA,NA
"13113",13113,"G1301130",115,594,106567,38461,39572,40032,39584,38826,40379,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13115",13115,"G1301150",116,595,96317,36887,37968,38385,38519,38997,40159,40660,"Rome, GA",165,11,414,NA,414
"13117",13117,"G1301170",114,593,175511,42936,43391,44084,45860,46893,48681,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13119",13119,"G1301190",126,605,22084,30511,30065,30999,31895,32604,34090,NA,NA,11,11,NA,NA,NA
"13121",13121,"G1301210",115,594,920581,62259,64430,65698,66400,68722,70623,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13123",13123,"G1301230",125,604,28292,28029,27657,28157,28092,28562,29272,NA,NA,199,11,NA,NA,NA
"13125",13125,"G1301250",123,602,3082,22643,23643,23497,23529,24423,24490,NA,NA,378,12,NA,NA,NA
"13127",13127,"G1301270",120,599,79626,36241,37045,38060,38117,38499,40046,15260,"Brunswick, GA",207,79,420,NA,420
"13129",13129,"G1301290",116,595,55186,34298,35057,35017,36469,36841,37152,15660,"Calhoun, GA",199,11,NA,421,421
"13131",13131,"G1301310",127,591,25011,29149,29394,29485,30002,30859,31632,NA,NA,72,163,NA,NA,NA
"13133",13133,"G1301330",113,592,15994,32053,32337,32129,31941,32752,34014,NA,NA,11,11,NA,NA,NA
"13135",13135,"G1301350",115,594,805321,45279,46670,47921,48240,49712,51298,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13137",13137,"G1301370",114,593,43041,30809,31030,31291,31593,32078,32557,18460,"Cornelia, GA",11,11,NA,425,425
"13139",13139,"G1301390",114,593,179684,38186,39761,39962,40512,42062,43832,23580,"Gainesville, GA",11,11,426,NA,426
"13141",13141,"G1301410",113,592,9429,26065,27121,27403,30675,31718,33046,33300,"Milledgeville, GA",241,100,NA,362,362
"13143",13143,"G1301430",115,594,28780,32254,33259,34315,36446,37524,38627,12060,"Atlanta-Sandy Springs-Roswell, GA",117,11,417,NA,417
"13145",13145,"G1301450",6,565,32024,27097,27071,28022,26355,27029,28279,17980,"Columbus, GA-AL",202,39,463,NA,463
"13147",13147,"G1301470",126,605,25213,32903,33817,33984,34163,35239,35165,NA,NA,11,11,NA,NA,NA
"13149",13149,"G1301490",115,594,11834,47614,43933,42373,40936,42344,45504,12060,"Atlanta-Sandy Springs-Roswell, GA",117,11,417,NA,417
"13151",13151,"G1301510",115,594,203922,33263,33756,34276,34046,35009,35953,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13153",13153,"G1301530",118,597,139900,42472,42989,43497,42710,43458,44068,47580,"Warner Robins, GA",128,100,433,NA,433
"13155",13155,"G1301550",117,596,9538,27024,27108,27168,28114,28730,30248,NA,NA,159,3,NA,366,366
"13157",13157,"G1301570",114,593,60485,33189,33863,34318,35619,36757,37770,27600,"Jefferson, GA",11,11,417,NA,417
"13159",13159,"G1301590",115,594,13900,28682,28724,27888,27307,28244,30745,12060,"Atlanta-Sandy Springs-Roswell, GA",11,11,417,NA,417
"13161",13161,"G1301610",110,589,15068,28453,28473,29985,31029,31594,32049,NA,NA,241,100,NA,NA,NA
