"","FIPS","GISJOIN2","OUT10","REP10","Pop10","Wage2010","Wage2011","Wage2012","Wage2013","Wage2014","Wage2015","CBSA10","CBSAName","PEA10","BEA2004","TPMetro","TPMicro","TPcombined"
"49027",49027,"G4900270",578,120,12503,34397,34444,35634,37222,37483,38769,NA,NA,361,142,NA,NA,NA
"49029",49029,"G4900290",574,116,9469,34208,35123,36148,35053,35980,35986,36260,"Ogden-Clearfield, UT",289,142,2748,NA,2748
"49031",49031,"G4900310",576,118,1556,24376,24794,24085,23470,24583,25888,NA,NA,229,142,NA,NA,NA
"49033",49033,"G4900330",139,55,2264,23491,22682,24075,25023,25641,26466,NA,NA,316,26,NA,NA,NA
"49035",49035,"G4900350",574,116,1029655,43916,44973,46442,46811,48290,50117,41620,"Salt Lake City, UT",27,142,2760,NA,2760
"49037",49037,"G4900370",577,119,14746,31681,32061,32651,37140,33254,35345,NA,NA,404,142,NA,NA,NA
"49039",49039,"G4900390",574,116,27822,27122,27488,28035,28769,28850,29906,NA,NA,361,142,NA,NA,NA
"49041",49041,"G4900410",576,118,20802,29943,30284,30558,31154,31491,32786,NA,NA,361,142,NA,NA,NA
"49043",49043,"G4900430",574,116,36324,34304,34989,35975,36554,38376,41044,44920,"Summit Park, UT",289,142,2760,NA,2760
"49045",49045,"G4900450",574,116,58218,40884,42169,42515,43727,43102,40182,41620,"Salt Lake City, UT",27,142,2760,NA,2760
"49047",49047,"G4900470",575,117,32588,42065,45195,46682,47610,48688,45565,46860,"Vernal, UT",289,142,NA,2766,2766
"49049",49049,"G4900490",574,116,516564,36329,37363,38652,39357,40085,41618,39340,"Provo-Orem, UT",27,142,2767,NA,2767
"49051",49051,"G4900510",574,116,23530,30985,31147,32031,32671,34574,36211,25720,"Heber, UT",289,142,NA,2768,2768
"49053",49053,"G4900530",571,113,138115,29727,30231,30290,30733,31599,32513,41100,"St. George, UT",229,92,2769,NA,2769
"49055",49055,"G4900550",579,121,2778,25595,27126,25581,26077,27928,28799,NA,NA,289,142,NA,NA,NA
"49057",49057,"G4900570",574,116,231236,34874,35187,36028,36630,37886,38896,36260,"Ogden-Clearfield, UT",27,142,2748,NA,2748
"50001",50001,"G5000010",580,532,36821,37410,38042,38787,39656,40791,42965,NA,NA,138,24,NA,NA,NA
"50003",50003,"G5000030",278,476,37125,36575,37478,37307,38765,40059,40526,13540,"Bennington, VT",69,4,NA,2773,2773
"50005",50005,"G5000050",389,497,31227,34415,35215,35691,35880,37209,37955,NA,NA,138,24,NA,NA,NA
"50007",50007,"G5000070",580,532,156545,46215,46857,47816,48996,49668,50570,15540,"Burlington-South Burlington, VT",138,24,2775,NA,2775
"50009",50009,"G5000090",389,497,6306,30875,32069,32775,34023,34751,37079,13620,"Berlin, NH-VT",143,22,NA,1733,1733
"5001",5001,"G0500010",38,133,19019,33229,33578,34941,36954,37998,38028,NA,NA,139,96,NA,NA,NA
"50011",50011,"G5000110",580,532,47746,37973,39278,39961,41138,42375,43132,15540,"Burlington-South Burlington, VT",138,24,2775,NA,2775
"50013",50013,"G5000130",580,532,6970,31413,29893,30547,30609,31178,33157,15540,"Burlington-South Burlington, VT",138,24,2775,NA,2775
"50015",50015,"G5000150",580,532,24475,32050,32912,33444,34779,35599,36895,NA,NA,138,24,NA,NA,NA
"50017",50017,"G5000170",389,497,28936,33077,33843,34542,35218,36290,37028,17200,"Claremont-Lebanon, NH-VT",143,22,NA,1734,1734
"50019",50019,"G5000190",389,497,27231,31667,32901,32904,33586,34467,35420,NA,NA,138,24,NA,NA,NA
"50021",50021,"G5000210",580,532,61642,35963,37403,38075,38965,39601,40293,40860,"Rutland, VT",138,22,NA,2782,2782
"50023",50023,"G5000230",389,497,59534,40880,42033,42411,43793,45386,46973,12740,"Barre, VT",138,24,NA,2783,2783
"50025",50025,"G5000250",388,496,44513,37333,37880,38239,39367,40059,42306,NA,NA,143,22,NA,NA,NA
"50027",50027,"G5000270",389,497,56670,37137,37968,38977,39887,41075,42313,17200,"Claremont-Lebanon, NH-VT",143,22,NA,1734,1734
"5003",5003,"G0500030",39,134,21853,37478,38221,38721,38476,38952,40559,NA,NA,139,96,NA,NA,NA
"5005",5005,"G0500050",40,235,41513,30115,30600,31410,32329,32863,32490,34260,"Mountain Home, AR",46,159,NA,85,85
"5007",5007,"G0500070",41,236,221339,46193,47480,49752,52788,53517,54849,22220,"Fayetteville-Springdale-Rogers, AR-MO",111,57,154,NA,154
"5009",5009,"G0500090",42,136,36903,32249,32944,33707,34296,35838,35450,25460,"Harrison, AR",46,159,NA,87,87
"5011",5011,"G0500110",39,134,11508,31713,29289,28915,29682,30239,31891,NA,NA,139,96,NA,NA,NA
"5013",5013,"G0500130",43,137,5368,42766,44548,45412,46660,48885,50726,15780,"Camden, AR",139,96,NA,134,134
"5015",5015,"G0500150",42,136,27446,25814,25958,26285,26589,27504,27527,NA,NA,46,159,NA,NA,NA
"5017",5017,"G0500170",39,134,11800,26635,27585,28376,29063,29349,30493,NA,NA,139,96,NA,NA,NA
"5019",5019,"G0500190",44,237,22995,29733,29714,30852,31252,31943,32390,11660,"Arkadelphia, AR",139,96,NA,92,92
"5021",5021,"G0500210",45,238,16083,27108,27077,28264,28376,29521,29066,NA,NA,198,82,NA,NA,NA
"5023",5023,"G0500230",46,138,25970,28376,29833,30264,29921,31029,31041,NA,NA,46,96,NA,NA,NA
"5025",5025,"G0500250",39,134,8689,21959,24432,27311,28041,29082,29900,38220,"Pine Bluff, AR",139,96,117,NA,117
"5027",5027,"G0500270",47,237,24552,32760,34768,35203,36105,37791,38362,31620,"Magnolia, AR",120,96,NA,96,96
"5029",5029,"G0500290",48,140,21273,31977,32993,34488,35014,35357,35634,NA,NA,46,96,142,NA,142
"5031",5031,"G0500310",45,238,96443,33093,33853,34767,35071,35923,36834,27860,"Jonesboro, AR",198,82,98,NA,98
"5033",5033,"G0500330",49,141,61948,29593,31435,32249,32898,33877,33868,22900,"Fort Smith, AR-OK",171,59,148,NA,148
"5035",5035,"G0500350",50,142,50902,31583,32099,32206,32251,33095,34329,32820,"Memphis, TN-MS-AR",59,105,2472,NA,2472
"5037",5037,"G0500370",51,142,17870,29999,29899,30505,30865,31896,31827,NA,NA,350,105,NA,NA,NA
"5039",5039,"G0500390",43,137,8116,27509,27254,27889,28300,29086,29860,NA,NA,139,96,NA,NA,NA
"5041",5041,"G0500410",39,134,13008,26958,30806,31157,31882,32521,32914,NA,NA,139,96,NA,NA,NA
"5043",5043,"G0500430",39,134,18509,28068,28544,29124,30412,31477,32519,NA,NA,139,96,NA,NA,NA
"5045",5045,"G0500450",48,140,113237,35297,36800,37768,38289,38882,38736,30780,"Little Rock-North Little Rock-Conway, AR",46,96,142,NA,142
"5047",5047,"G0500470",49,141,18125,33081,34153,34169,33615,34531,35819,NA,NA,171,59,148,NA,148
"5049",5049,"G0500490",52,239,12245,24157,24631,25803,26380,26086,27091,NA,NA,46,96,NA,NA,NA
"5051",5051,"G0500510",44,237,96024,29869,30841,31842,32374,33004,34272,26300,"Hot Springs, AR",139,96,108,NA,108
"5053",5053,"G0500530",48,140,17853,28360,29262,31342,33151,34521,35538,30780,"Little Rock-North Little Rock-Conway, AR",139,96,142,NA,142
"5055",5055,"G0500550",45,238,42090,31221,32258,32795,33921,34457,35658,37500,"Paragould, AR",198,82,NA,110,110
"5057",5057,"G0500570",47,237,22609,32688,35178,35151,32183,33441,32977,NA,NA,139,165,NA,111,111
"5059",5059,"G0500590",44,237,32923,30558,30919,31654,31894,33504,33876,31680,"Malvern, AR",139,96,NA,NA,NA
"5061",5061,"G0500610",44,237,13789,28484,27241,27785,28365,30216,30128,NA,NA,139,165,NA,NA,NA
"5063",5063,"G0500630",53,240,36647,30974,32184,32900,33351,33895,35326,12900,"Batesville, AR",46,96,NA,114,114
"5065",5065,"G0500650",53,240,13696,26369,26780,28863,29372,29737,30653,NA,NA,46,96,NA,NA,NA
"5067",5067,"G0500670",53,240,17997,30774,32272,33039,33878,34886,35135,NA,NA,46,96,NA,NA,NA
"5069",5069,"G0500690",39,134,77435,36337,37069,37857,37511,38625,38354,38220,"Pine Bluff, AR",46,96,117,NA,117
"5071",5071,"G0500710",49,141,25540,27871,28330,28638,28915,30608,30959,NA,NA,46,96,NA,NA,NA
"5073",5073,"G0500730",47,237,7645,26944,28599,29309,30859,32535,33254,NA,NA,120,96,NA,NA,NA
"5075",5075,"G0500750",45,238,17415,26726,27597,28292,28446,29653,30721,NA,NA,198,82,NA,NA,NA
"5077",5077,"G0500770",51,142,10424,29042,29402,30129,31073,32517,33426,NA,NA,350,105,NA,NA,NA
"5079",5079,"G0500790",39,134,14134,29562,30151,30730,31421,32455,33357,38220,"Pine Bluff, AR",139,96,117,NA,117
"5081",5081,"G0500810",54,241,13171,44626,44867,46821,45662,47470,49796,45500,"Texarkana, TX-AR",181,165,NA,NA,NA
"5083",5083,"G0500830",49,141,22353,28364,29295,29926,30177,30217,30482,NA,NA,171,59,NA,NA,NA
"5085",5085,"G0500850",48,140,68356,28821,28872,30293,30991,31684,32518,30780,"Little Rock-North Little Rock-Conway, AR",46,96,142,NA,142
"5087",5087,"G0500870",41,573,15717,26891,28156,29103,28721,29758,32136,22220,"Fayetteville-Springdale-Rogers, AR-MO",111,57,154,NA,154
"5089",5089,"G0500890",40,235,16653,25386,26126,26453,27493,28106,35045,NA,NA,46,159,NA,NA,NA
"5091",5091,"G0500910",54,241,43462,33673,34109,35374,35065,36539,37065,45500,"Texarkana, TX-AR",181,165,2507,NA,2507
"5093",5093,"G0500930",55,242,46480,36984,38234,39284,40782,41928,41007,14180,"Blytheville, AR",198,82,NA,129,129
