model,n,b1,b2
Unadjusted,607,1.36 (1.23-1.50),0.92 (0.88-0.95)
age_adjusted,607,1.42 (1.27-1.57),0.94 (0.91-0.98)
outlier_exclusion,604,1.14 (1.07-1.21),0.92 (0.88-0.95)
outlier_exclusion_2,604,1.15 (1.10-1.21),0.91 (0.87-0.95)
